Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1978,1978,1000 SLC,2724381,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1979,1979,1000 SLC,2800663,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1980,1980,1000 SLC,2898741,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1981,1981,1000 SLC,2975024,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1982,1982,1000 SLC,2975024,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1983,1983,1000 SLC,2920536,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1984,1984,1000 SLC,2833356,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1985,1985,1000 SLC,2702586,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1986,1986,1000 SLC,2593611,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1987,1987,1000 SLC,2364763,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1988,1988,1000 SLC,2375660,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1989,1989,1000 SLC,2212197,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1990,1990,1000 SLC,2441045,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1991,1991,1000 SLC,2430148,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1992,1992,1000 SLC,2451943,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1993,1993,1000 SLC,2473738,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1994,1994,1000 SLC,2495533,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1995,1995,1000 SLC,2517328,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1996,1996,1000 SLC,2539123,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1997,1997,1000 SLC,2560918,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1998,1998,1000 SLC,2560918,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,1999,1999,1000 SLC,2560918,Fc,Calculated data
QV,Value of Agricultural Production,2,Afghanistan,55,Gross Production Value (constant 2014-2016 thousand SLC),116,Potatoes,2000,2000,1000 SLC,2560918,Fc,Calculated data
